"relative_path","bytes_before","bytes_after","bytes_saved","width_before","height_before","width_after","height_after","backup_path"
"static/media/animations/finfin8-orig.gif","86245558","935044","85310514","3840","2160","1920","1080","optimized-live-gif-originals/media/animations/finfin8-orig.gif"
"static/media/animations/output-1.gif","78731692","784590","77947102","960","1184","960","1184","optimized-live-gif-originals/media/animations/output-1.gif"
"static/media/animations/vr-transparent-orig.gif","60979761","404907","60574854","1080","1080","1080","1080","optimized-live-gif-originals/media/animations/vr-transparent-orig.gif"
"static/media/animations/vr-flipped-transparent-orig.gif","56402192","363638","56038554","1080","1080","1080","1080","optimized-live-gif-originals/media/animations/vr-flipped-transparent-orig.gif"
"static/media/animations/ezgif-2-0153de9630-2.gif","50280794","403825","49876969","1920","1080","1920","1080","optimized-live-gif-originals/media/animations/ezgif-2-0153de9630-2.gif"
"static/media/animations/trippy-brain-patterns-93d438-1-orig.gif","50239879","554089","49685790","1024","1024","1024","1024","optimized-live-gif-originals/media/animations/trippy-brain-patterns-93d438-1-orig.gif"
"static/media/animations/forward-reverse-gif-2.gif","44462521","1309434","43153087","1920","1080","1920","1080","optimized-live-gif-originals/media/animations/forward-reverse-gif-2.gif"
"static/media/animations/video-converted-orig.gif","22729920","288199","22441721","1024","1024","1024","1024","optimized-live-gif-originals/media/animations/video-converted-orig.gif"
"static/media/animations/converted-video-orig.gif","17146814","392348","16754466","1024","1024","1024","1024","optimized-live-gif-originals/media/animations/converted-video-orig.gif"
"static/media/animations/ezgif-3-aca8819603-3.gif","10226700","346475","9880225","1100","619","1100","619","optimized-live-gif-originals/media/animations/ezgif-3-aca8819603-3.gif"
"static/media/animations/ezgif-6-694c5e7c21-2.gif","7495438","152027","7343411","1100","619","1100","619","optimized-live-gif-originals/media/animations/ezgif-6-694c5e7c21-2.gif"
"static/media/animations/ezgif-4-e893a2d506-2.gif","7571326","289019","7282307","1100","619","1100","619","optimized-live-gif-originals/media/animations/ezgif-4-e893a2d506-2.gif"
"static/media/animations/ezgif-6-61cf71fce1-orig.gif","5035414","221205","4814209","1100","619","1100","619","optimized-live-gif-originals/media/animations/ezgif-6-61cf71fce1-orig.gif"
"static/media/animations/lung-mechanics-respiratory-coupling1-orig.gif","4285306","74007","4211299","1100","619","1100","619","optimized-live-gif-originals/media/animations/lung-mechanics-respiratory-coupling1-orig.gif"
"static/media/images/alterationconsciousness7-orig.gif","2095274","72995","2022279","1080","1080","1080","1080","optimized-live-gif-originals/media/images/alterationconsciousness7-orig.gif"
"static/media/images/breathink-fast-orig.gif","2005413","46372","1959041","1100","619","1100","619","optimized-live-gif-originals/media/images/breathink-fast-orig.gif"
"static/media/images/bioresponsive-mechanics-orig.gif","1585242","28870","1556372","1100","619","1100","619","optimized-live-gif-originals/media/images/bioresponsive-mechanics-orig.gif"
"static/media/images/output-lossless-1.gif","1391638","306130","1085508","1100","619","1100","619","optimized-live-gif-originals/media/images/output-lossless-1.gif"
"static/media/images/alius-tulpa-banner-4.gif","401553","84444","317109","800","450","800","450","optimized-live-gif-originals/media/images/alius-tulpa-banner-4.gif"
"static/media/images/alius-eventbanner-psychedelcis-meditation-template-fin-jc-nr09-1.gif","604073","328580","275493","1100","619","1100","619","optimized-live-gif-originals/media/images/alius-eventbanner-psychedelcis-meditation-template-fin-jc-nr09-1.gif"
"static/media/images/alius-eventbanner-template-jc-nr04-2.gif","391091","167685","223406","1100","619","1100","619","optimized-live-gif-originals/media/images/alius-eventbanner-template-jc-nr04-2.gif"
"static/media/images/alius-eventbanner-template-jc-nr16-2.gif","345513","131478","214035","1100","619","1100","619","optimized-live-gif-originals/media/images/alius-eventbanner-template-jc-nr16-2.gif"
"static/media/images/alius-eventbanner-template-jc-nr14-3.gif","341682","130001","211681","1100","619","1100","619","optimized-live-gif-originals/media/images/alius-eventbanner-template-jc-nr14-3.gif"
"static/media/images/alius-eventbanner-template-jc-nr12-orig.gif","351501","151511","199990","1100","619","1100","619","optimized-live-gif-originals/media/images/alius-eventbanner-template-jc-nr12-orig.gif"
"static/media/images/alius-eventbanner-template-jc-nr03-3.gif","198673","87989","110684","853","480","853","480","optimized-live-gif-originals/media/images/alius-eventbanner-template-jc-nr03-3.gif"
"static/media/images/alius-eventbanner-template-jc-nr11-1.gif","276318","179590","96728","1100","619","1100","619","optimized-live-gif-originals/media/images/alius-eventbanner-template-jc-nr11-1.gif"
"static/media/images/alius-eventbanner-template-3.gif","154413","81899","72514","853","480","853","480","optimized-live-gif-originals/media/images/alius-eventbanner-template-3.gif"
"static/media/images/bunny-running-sticker-by-rabbits-world-2.gif","28792","6011","22781","480","384","480","384","optimized-live-gif-originals/media/images/bunny-running-sticker-by-rabbits-world-2.gif"
